"invoice_id","line_item_id","period_start_date","period_end_date","total_amount","canonical_line_item_id"
"934bc297-fc72-4948-8d12-09e6756e9a38","5fb087b1-ba82-4c1c-a74b-d59dcaba5f68",2020-10-26,2020-10-27,63.0,"1ac71577-22c8-458e-a16d-592d6eb0a975"
"934bc297-fc72-4948-8d12-09e6756e9a38",f9cec7b0-32c3-4a45-b748-fc69ceaad2de,2020-10-26,2020-10-27,1097.0,"32c28e0d-cffd-4023-bdc5-222067f646d5"
"934bc297-fc72-4948-8d12-09e6756e9a38","78a20a72-d1ce-41d4-8a15-7e9fde03ee4f",2020-10-26,2020-10-27,500.0,"045d2e91-22c7-487f-8781-49fa64b61a31"
"934bc297-fc72-4948-8d12-09e6756e9a38",dc2b839f-798d-4fe7-80c3-a328f458d5f5,2020-10-26,2020-10-27,1800.0,c7a076ff-c5a0-49d3-9dbf-565e21c2bae9
"2b0ce2d7-a9fa-41e6-9814-4e0e15876627","2e198ffb-60ab-4973-8b6d-31ac39509cb6",2020-10-05,2020-10-05,733.0,"03c1da8d-3774-4f20-b070-0b3192c089e5"
"725c262f-2722-4fdb-91b0-caee8d7df87d","1eb5f2e3-8057-4b46-9fea-14d6c327e699",2020-01-12,2020-04-11,750.0,"80548f53-fef2-4cde-90b7-d3c79f01a600"
"725c262f-2722-4fdb-91b0-caee8d7df87d","28f44320-0b5f-4219-8368-adb51c4c2770",2020-01-12,2020-04-11,2250.0,d65218d8-04b2-4654-b299-8672b5bceaaa
"36a409d4-e219-48bd-93e7-b5c91b76a746","84214c3f-0f05-4422-b781-11e680767fb3",2020-11-04,2020-11-04,50.0,"5a2de207-9435-47ff-9be9-51265c43b631"
"36a409d4-e219-48bd-93e7-b5c91b76a746",fe400821-6d47-43ee-be5d-ad916671f122,2020-11-04,2020-11-04,20.9,afabc556-5b45-4d03-99ab-6f0e54d6ff9f
"36a409d4-e219-48bd-93e7-b5c91b76a746","2d0e5d3d-239f-4a4f-9f44-c88307aeac9c",2020-11-02,2020-11-02,25.0,"0a41a22b-4c98-42b4-b1b4-c1c59ed45a86"
"36a409d4-e219-48bd-93e7-b5c91b76a746",c3c10fe5-cc74-4bbf-a1a3-7a375fc31a0a,2020-11-02,2020-11-02,1313.0,ef3c675d-d0d0-4124-a0c8-c004267bfa63
